degrees,values
393,0.5446
394,0.5592
395,0.5736
396,0.5878
397,0.6018
398,0.6157
399,0.6293
400,0.6428
401,0.6561
402,0.6691
403,0.682
404,0.6947
405,0.7071
406,0.7193
407,0.7314
408,0.7431
409,0.7547
410,0.766
411,0.7771
412,0.788
413,0.7986
414,0.809
415,0.8192
416,0.829
417,0.8387
418,0.848
419,0.8572
420,0.866
421,0.8746
422,0.8829
423,0.891
424,0.8988
425,0.9063
426,0.9135
427,0.9205
428,0.9272
429,0.9336
430,0.9397
431,0.9455
432,0.9511
433,0.9563
434,0.9613
435,0.9659
436,0.9703
437,0.9744
438,0.9781
439,0.9816
440,0.9848
441,0.9877
442,0.9903
443,0.9925
444,0.9945
445,0.9962
446,0.9976
447,0.9986
448,0.9994
449,0.9998
450,1.0
451,0.9998
452,0.9994
453,0.9986
454,0.9976
455,0.9962
456,0.9945
457,0.9925
458,0.9903
459,0.9877
460,0.9848
461,0.9816
462,0.9781
463,0.9744
464,0.9703
465,0.9659
466,0.9613
467,0.9563
468,0.9511
469,0.9455
470,0.9397
471,0.9336
472,0.9272
473,0.9205
474,0.9135
475,0.9063
476,0.8988
477,0.891
478,0.8829
479,0.8746
480,0.866
481,0.8572
482,0.848
483,0.8387
484,0.829
485,0.8192
486,0.809
487,0.7986
488,0.788
489,0.7771
490,0.766
491,0.7547
492,0.7431
493,0.7314
494,0.7193
495,0.7071
496,0.6947
497,0.682
498,0.6691
499,0.6561
500,0.6428
501,0.6293
502,0.6157
503,0.6018
504,0.5878
505,0.5736
506,0.5592
507,0.5446
508,0.5299
509,0.515
510,0.5
511,0.4848
512,0.4695
513,0.454
514,0.4384
515,0.4226
516,0.4067
517,0.3907
518,0.3746
519,0.3584
520,0.342
521,0.3256
522,0.309
523,0.2924
524,0.2756
525,0.2588
526,0.2419
527,0.225
528,0.2079
529,0.1908
530,0.1736
531,0.1564
532,0.1392
533,0.1219
534,0.1045
535,0.0872
536,0.0698
537,0.0523
538,0.0349
539,0.0175
540,0.0
541,-0.0175
542,-0.0349
543,-0.0523
544,-0.0698
545,-0.0872
546,-0.1045
547,-0.1219
548,-0.1392
549,-0.1564
550,-0.1736
551,-0.1908
552,-0.2079
553,-0.225
554,-0.2419
555,-0.2588
556,-0.2756
557,-0.2924
558,-0.309
559,-0.3256
560,-0.342
561,-0.3584
562,-0.3746
563,-0.3907
564,-0.4067
565,-0.4226
566,-0.4384
567,-0.454
568,-0.4695
569,-0.4848
570,-0.5
571,-0.515
572,-0.5299
573,-0.5446
574,-0.5592
575,-0.5736
576,-0.5878
577,-0.6018
578,-0.6157
579,-0.6293
580,-0.6428
581,-0.6561
582,-0.6691
583,-0.682
584,-0.6947
585,-0.7071
586,-0.7193
587,-0.7314
588,-0.7431
589,-0.7547
590,-0.766
591,-0.7771
592,-0.788
593,-0.7986
594,-0.809
595,-0.8192
596,-0.829
597,-0.8387
598,-0.848
599,-0.8572
600,-0.866
601,-0.8746
602,-0.8829
603,-0.891
604,-0.8988
605,-0.9063
606,-0.9135
607,-0.9205
608,-0.9272
609,-0.9336
610,-0.9397
611,-0.9455
612,-0.9511
613,-0.9563
614,-0.9613
615,-0.9659
616,-0.9703
617,-0.9744
618,-0.9781
619,-0.9816
620,-0.9848
621,-0.9877
622,-0.9903
623,-0.9925
624,-0.9945
625,-0.9962
626,-0.9976
627,-0.9986
628,-0.9994
629,-0.9998
630,-1.0
631,-0.9998
632,-0.9994
633,-0.9986
634,-0.9976
635,-0.9962
636,-0.9945
637,-0.9925
638,-0.9903
639,-0.9877
640,-0.9848
641,-0.9816
642,-0.9781
643,-0.9744
644,-0.9703
645,-0.9659
646,-0.9613
647,-0.9563
648,-0.9511
649,-0.9455
650,-0.9397
651,-0.9336
652,-0.9272
653,-0.9205
654,-0.9135
655,-0.9063
656,-0.8988
657,-0.891
658,-0.8829
659,-0.8746
660,-0.866
661,-0.8572
662,-0.848
663,-0.8387
664,-0.829
665,-0.8192
666,-0.809
667,-0.7986
668,-0.788
669,-0.7771
670,-0.766
671,-0.7547
672,-0.7431
673,-0.7314
674,-0.7193
675,-0.7071
676,-0.6947
677,-0.682
678,-0.6691
679,-0.6561
680,-0.6428
681,-0.6293
682,-0.6157
683,-0.6018
684,-0.5878
685,-0.5736
686,-0.5592
687,-0.5446
688,-0.5299
689,-0.515
690,-0.5
691,-0.4848
692,-0.4695
693,-0.454
694,-0.4384
695,-0.4226
696,-0.4067
697,-0.3907
698,-0.3746
699,-0.3584
700,-0.342
701,-0.3256
702,-0.309
703,-0.2924
704,-0.2756
705,-0.2588
706,-0.2419
707,-0.225
708,-0.2079
709,-0.1908
710,-0.1736
711,-0.1564
712,-0.1392
713,-0.1219
714,-0.1045
715,-0.0872
716,-0.0698
717,-0.0523
718,-0.0349
719,-0.0175
720,-0.0
721,0.0175
722,0.0349
723,0.0523
724,0.0698
725,0.0872
726,0.1045
727,0.1219
728,0.1392
729,0.1564
730,0.1736
731,0.1908
732,0.2079
733,0.225
734,0.2419
735,0.2588
736,0.2756
737,0.2924
738,0.309
739,0.3256
740,0.342
741,0.3584
742,0.3746
743,0.3907
744,0.4067
745,0.4226
746,0.4384
747,0.454
748,0.4695
749,0.4848
750,0.5
751,0.515
752,0.5299
753,0.5446
754,0.5592
755,0.5736
756,0.5878
757,0.6018
758,0.6157
759,0.6293
760,0.6428
761,0.6561
762,0.6691
763,0.682
764,0.6947
765,0.7071
766,0.7193
767,0.7314
768,0.7431
769,0.7547
770,0.766
771,0.7771
772,0.788
773,0.7986
774,0.809
775,0.8192
776,0.829
777,0.8387
778,0.848
779,0.8572
780,0.866
781,0.8746
782,0.8829
783,0.891
784,0.8988
785,0.9063
786,0.9135
787,0.9205
788,0.9272
789,0.9336
790,0.9397
791,0.9455
792,0.9511
793,0.9563
794,0.9613
795,0.9659
796,0.9703
797,0.9744
798,0.9781
799,0.9816
800,0.9848
801,0.9877
802,0.9903
803,0.9925
804,0.9945
805,0.9962
806,0.9976
807,0.9986
808,0.9994
809,0.9998
810,1.0
811,0.9998
812,0.9994
813,0.9986
814,0.9976
815,0.9962
816,0.9945
817,0.9925
818,0.9903
819,0.9877
820,0.9848
821,0.9816
822,0.9781
823,0.9744
824,0.9703
825,0.9659
826,0.9613
827,0.9563
828,0.9511
829,0.9455
830,0.9397
831,0.9336
832,0.9272
833,0.9205
834,0.9135
835,0.9063
836,0.8988
837,0.891
838,0.8829
839,0.8746
840,0.866
841,0.8572
842,0.848
843,0.8387
844,0.829
845,0.8192
846,0.809
847,0.7986
848,0.788
849,0.7771
850,0.766
851,0.7547
852,0.7431
853,0.7314
854,0.7193
855,0.7071
856,0.6947
857,0.682
858,0.6691
859,0.6561
860,0.6428
861,0.6293
862,0.6157
863,0.6018
864,0.5878
865,0.5736
866,0.5592
867,0.5446
868,0.5299
869,0.515
870,0.5
871,0.4848
872,0.4695
873,0.454
874,0.4384
875,0.4226
876,0.4067
877,0.3907
878,0.3746
879,0.3584
880,0.342
881,0.3256
882,0.309
883,0.2924
884,0.2756
885,0.2588
886,0.2419
887,0.225
888,0.2079
889,0.1908
890,0.1736
891,0.1564
892,0.1392
893,0.1219
894,0.1045
895,0.0872
896,0.0698
897,0.0523
898,0.0349
899,0.0175
900,0.0
901,-0.0175
902,-0.0349
903,-0.0523
904,-0.0698
905,-0.0872
906,-0.1045
907,-0.1219
908,-0.1392
909,-0.1564
910,-0.1736
911,-0.1908
912,-0.2079
913,-0.225
914,-0.2419
915,-0.2588
916,-0.2756
917,-0.2924
918,-0.309
919,-0.3256
920,-0.342
921,-0.3584
922,-0.3746
923,-0.3907
924,-0.4067
925,-0.4226
926,-0.4384
927,-0.454
928,-0.4695
929,-0.4848
930,-0.5
931,-0.515
932,-0.5299
933,-0.5446
934,-0.5592
935,-0.5736
936,-0.5878
937,-0.6018
938,-0.6157
939,-0.6293
940,-0.6428
941,-0.6561
942,-0.6691
943,-0.682
944,-0.6947
945,-0.7071
946,-0.7193
947,-0.7314
948,-0.7431
949,-0.7547
950,-0.766
951,-0.7771
952,-0.788
953,-0.7986
954,-0.809
955,-0.8192
956,-0.829
957,-0.8387
958,-0.848
959,-0.8572
960,-0.866
961,-0.8746
962,-0.8829
963,-0.891
964,-0.8988
965,-0.9063
966,-0.9135
967,-0.9205
968,-0.9272
969,-0.9336
970,-0.9397
971,-0.9455
972,-0.9511
973,-0.9563
974,-0.9613
975,-0.9659
976,-0.9703
977,-0.9744
978,-0.9781
979,-0.9816
980,-0.9848
981,-0.9877
982,-0.9903
983,-0.9925
984,-0.9945
985,-0.9962
986,-0.9976
987,-0.9986
988,-0.9994
989,-0.9998
990,-1.0
991,-0.9998
992,-0.9994
993,-0.9986
994,-0.9976
995,-0.9962
996,-0.9945
997,-0.9925
998,-0.9903
999,-0.9877
1000,-0.9848
1001,-0.9816
1002,-0.9781
1003,-0.9744
1004,-0.9703
1005,-0.9659
1006,-0.9613
1007,-0.9563
1008,-0.9511
1009,-0.9455
1010,-0.9397
1011,-0.9336
1012,-0.9272
1013,-0.9205
1014,-0.9135
1015,-0.9063
1016,-0.8988
1017,-0.891
1018,-0.8829
1019,-0.8746
1020,-0.866
1021,-0.8572
1022,-0.848
1023,-0.8387
1024,-0.829
1025,-0.8192
1026,-0.809
1027,-0.7986
1028,-0.788
1029,-0.7771
1030,-0.766
1031,-0.7547
1032,-0.7431
1033,-0.7314
1034,-0.7193
1035,-0.7071
1036,-0.6947
1037,-0.682
1038,-0.6691
1039,-0.6561
1040,-0.6428
1041,-0.6293
1042,-0.6157
1043,-0.6018
1044,-0.5878
1045,-0.5736
1046,-0.5592
1047,-0.5446
1048,-0.5299
1049,-0.515
1050,-0.5
1051,-0.4848
1052,-0.4695
1053,-0.454
1054,-0.4384
1055,-0.4226
1056,-0.4067
1057,-0.3907
1058,-0.3746
1059,-0.3584
1060,-0.342
1061,-0.3256
1062,-0.309
1063,-0.2924
1064,-0.2756
1065,-0.2588
1066,-0.2419
1067,-0.225
1068,-0.2079
1069,-0.1908
1070,-0.1736
1071,-0.1564
1072,-0.1392
1073,-0.1219
1074,-0.1045
1075,-0.0872
1076,-0.0698
1077,-0.0523
1078,-0.0349
1079,-0.0175
1080,-0.0
1081,0.0175
1082,0.0349
1083,0.0523
1084,0.0698
1085,0.0872
1086,0.1045
1087,0.1219
1088,0.1392
1089,0.1564
1090,0.1736
1091,0.1908
1092,0.2079
1093,0.225
1094,0.2419
1095,0.2588
1096,0.2756
1097,0.2924
1098,0.309
1099,0.3256
1100,0.342
1101,0.3584
1102,0.3746
1103,0.3907
1104,0.4067
1105,0.4226
1106,0.4384
1107,0.454
1108,0.4695
1109,0.4848
1110,0.5
1111,0.515
1112,0.5299
1113,0.5446
1114,0.5592
1115,0.5736
1116,0.5878
1117,0.6018
1118,0.6157
1119,0.6293
1120,0.6428
1121,0.6561
1122,0.6691
1123,0.682
1124,0.6947
1125,0.7071
1126,0.7193
1127,0.7314
1128,0.7431
1129,0.7547
1130,0.766
1131,0.7771
1132,0.788
1133,0.7986
1134,0.809
1135,0.8192
1136,0.829
1137,0.8387
1138,0.848
1139,0.8572
1140,0.866
1141,0.8746
1142,0.8829
1143,0.891
1144,0.8988
1145,0.9063
1146,0.9135
1147,0.9205
1148,0.9272
1149,0.9336
1150,0.9397
1151,0.9455
1152,0.9511
1153,0.9563
1154,0.9613
1155,0.9659
1156,0.9703
1157,0.9744
1158,0.9781
1159,0.9816
1160,0.9848
1161,0.9877
1162,0.9903
1163,0.9925
1164,0.9945
1165,0.9962
1166,0.9976
1167,0.9986
1168,0.9994
1169,0.9998
1170,1.0
1171,0.9998
1172,0.9994
1173,0.9986
1174,0.9976
1175,0.9962
1176,0.9945
1177,0.9925
1178,0.9903
1179,0.9877
1180,0.9848
1181,0.9816
1182,0.9781
1183,0.9744
1184,0.9703
1185,0.9659
1186,0.9613
1187,0.9563
1188,0.9511
1189,0.9455
1190,0.9397
1191,0.9336
1192,0.9272
1193,0.9205
1194,0.9135
1195,0.9063
1196,0.8988
1197,0.891
1198,0.8829
1199,0.8746
1200,0.866
1201,0.8572
1202,0.848
1203,0.8387
1204,0.829
1205,0.8192
1206,0.809
1207,0.7986
1208,0.788
1209,0.7771
1210,0.766
1211,0.7547
1212,0.7431
1213,0.7314
1214,0.7193
1215,0.7071
1216,0.6947
1217,0.682
1218,0.6691
1219,0.6561
1220,0.6428
1221,0.6293
1222,0.6157
1223,0.6018
1224,0.5878
1225,0.5736
1226,0.5592
1227,0.5446
1228,0.5299
1229,0.515
1230,0.5
1231,0.4848
1232,0.4695
1233,0.454
1234,0.4384
1235,0.4226
1236,0.4067
1237,0.3907
1238,0.3746
1239,0.3584
1240,0.342
1241,0.3256
1242,0.309
1243,0.2924
1244,0.2756
1245,0.2588
1246,0.2419
1247,0.225
1248,0.2079
1249,0.1908
1250,0.1736
1251,0.1564
1252,0.1392
1253,0.1219
1254,0.1045
1255,0.0872
1256,0.0698
1257,0.0523
1258,0.0349
1259,0.0175
1260,0.0
1261,-0.0175
1262,-0.0349
1263,-0.0523
1264,-0.0698
1265,-0.0872
1266,-0.1045
1267,-0.1219
1268,-0.1392
1269,-0.1564
1270,-0.1736
1271,-0.1908
1272,-0.2079
1273,-0.225
1274,-0.2419
1275,-0.2588
1276,-0.2756
1277,-0.2924
1278,-0.309
1279,-0.3256
1280,-0.342
1281,-0.3584
1282,-0.3746
1283,-0.3907
1284,-0.4067
1285,-0.4226
1286,-0.4384
1287,-0.454
1288,-0.4695
1289,-0.4848
1290,-0.5
1291,-0.515
1292,-0.5299
1293,-0.5446
1294,-0.5592
1295,-0.5736
1296,-0.5878
1297,-0.6018
1298,-0.6157
1299,-0.6293
1300,-0.6428
1301,-0.6561
1302,-0.6691
1303,-0.682
1304,-0.6947
1305,-0.7071
1306,-0.7193
1307,-0.7314
1308,-0.7431
1309,-0.7547
1310,-0.766
1311,-0.7771
1312,-0.788
1313,-0.7986
1314,-0.809
1315,-0.8192
1316,-0.829
1317,-0.8387
1318,-0.848
1319,-0.8572
1320,-0.866
1321,-0.8746
1322,-0.8829
1323,-0.891
1324,-0.8988
1325,-0.9063
1326,-0.9135
1327,-0.9205
1328,-0.9272
1329,-0.9336
1330,-0.9397
1331,-0.9455
1332,-0.9511
1333,-0.9563
1334,-0.9613
1335,-0.9659
1336,-0.9703
1337,-0.9744
1338,-0.9781
1339,-0.9816
1340,-0.9848
1341,-0.9877
1342,-0.9903
1343,-0.9925
1344,-0.9945
1345,-0.9962
1346,-0.9976
1347,-0.9986
1348,-0.9994
1349,-0.9998
1350,-1.0
1351,-0.9998
1352,-0.9994
1353,-0.9986
1354,-0.9976
1355,-0.9962
1356,-0.9945
1357,-0.9925
1358,-0.9903
1359,-0.9877
1360,-0.9848
1361,-0.9816
1362,-0.9781
1363,-0.9744
1364,-0.9703
1365,-0.9659
1366,-0.9613
1367,-0.9563
1368,-0.9511
1369,-0.9455
1370,-0.9397
1371,-0.9336
1372,-0.9272
1373,-0.9205
1374,-0.9135
1375,-0.9063
1376,-0.8988
1377,-0.891
1378,-0.8829
1379,-0.8746
1380,-0.866
1381,-0.8572
1382,-0.848
1383,-0.8387
1384,-0.829
1385,-0.8192
1386,-0.809
1387,-0.7986
1388,-0.788
1389,-0.7771
1390,-0.766
1391,-0.7547
1392,-0.7431
1393,-0.7314
1394,-0.7193
1395,-0.7071
1396,-0.6947
1397,-0.682
1398,-0.6691
1399,-0.6561
1400,-0.6428
1401,-0.6293
1402,-0.6157
1403,-0.6018
1404,-0.5878
1405,-0.5736
1406,-0.5592
1407,-0.5446
1408,-0.5299
1409,-0.515
1410,-0.5
1411,-0.4848
1412,-0.4695
1413,-0.454
1414,-0.4384
1415,-0.4226
1416,-0.4067
1417,-0.3907
1418,-0.3746
1419,-0.3584
1420,-0.342
1421,-0.3256
1422,-0.309
1423,-0.2924
1424,-0.2756
1425,-0.2588
1426,-0.2419
1427,-0.225
1428,-0.2079
1429,-0.1908
1430,-0.1736
1431,-0.1564
1432,-0.1392
1433,-0.1219
1434,-0.1045
1435,-0.0872
1436,-0.0698
1437,-0.0523
1438,-0.0349
1439,-0.0175
1440,-0.0
1441,0.0175
1442,0.0349
1443,0.0523
1444,0.0698
1445,0.0872
1446,0.1045
1447,0.1219
1448,0.1392
1449,0.1564
1450,0.1736
1451,0.1908
1452,0.2079
1453,0.225
1454,0.2419
1455,0.2588
1456,0.2756
1457,0.2924
1458,0.309
1459,0.3256
1460,0.342
1461,0.3584
1462,0.3746
1463,0.3907
1464,0.4067
1465,0.4226
1466,0.4384
1467,0.454
1468,0.4695
1469,0.4848
1470,0.5
1471,0.515
1472,0.5299
1473,0.5446
1474,0.5592
1475,0.5736
1476,0.5878
1477,0.6018
1478,0.6157
1479,0.6293
1480,0.6428
1481,0.6561
1482,0.6691
1483,0.682
1484,0.6947
1485,0.7071
1486,0.7193
1487,0.7314
1488,0.7431
1489,0.7547
1490,0.766
1491,0.7771
1492,0.788
1493,0.7986
1494,0.809
1495,0.8192
1496,0.829
1497,0.8387
1498,0.848
1499,0.8572
1500,0.866
1501,0.8746
1502,0.8829
1503,0.891
1504,0.8988
1505,0.9063
1506,0.9135
1507,0.9205
1508,0.9272
1509,0.9336
1510,0.9397
1511,0.9455
1512,0.9511
1513,0.9563
1514,0.9613
1515,0.9659
1516,0.9703
1517,0.9744
1518,0.9781
1519,0.9816
1520,0.9848
1521,0.9877
1522,0.9903
1523,0.9925
1524,0.9945
1525,0.9962
1526,0.9976
1527,0.9986
1528,0.9994
1529,0.9998
1530,1.0
1531,0.9998
1532,0.9994
1533,0.9986
1534,0.9976
1535,0.9962
1536,0.9945
1537,0.9925
1538,0.9903
1539,0.9877
1540,0.9848
1541,0.9816
1542,0.9781
1543,0.9744
1544,0.9703
1545,0.9659
1546,0.9613
1547,0.9563
1548,0.9511
1549,0.9455
1550,0.9397
1551,0.9336
1552,0.9272
1553,0.9205
1554,0.9135
1555,0.9063
1556,0.8988
1557,0.891
1558,0.8829
1559,0.8746
1560,0.866
1561,0.8572
1562,0.848
1563,0.8387
1564,0.829
1565,0.8192
1566,0.809
1567,0.7986
1568,0.788
1569,0.7771
1570,0.766
1571,0.7547
1572,0.7431
1573,0.7314
1574,0.7193
1575,0.7071
1576,0.6947
1577,0.682
1578,0.6691
1579,0.6561
1580,0.6428
1581,0.6293
1582,0.6157
1583,0.6018
1584,0.5878
1585,0.5736
1586,0.5592
1587,0.5446
1588,0.5299
1589,0.515
1590,0.5
1591,0.4848
1592,0.4695
1593,0.454
1594,0.4384
1595,0.4226
1596,0.4067
1597,0.3907
1598,0.3746
1599,0.3584
1600,0.342
1601,0.3256
1602,0.309
1603,0.2924
1604,0.2756
1605,0.2588
1606,0.2419
1607,0.225
1608,0.2079
1609,0.1908
1610,0.1736
1611,0.1564
1612,0.1392
1613,0.1219
1614,0.1045
1615,0.0872
1616,0.0698
1617,0.0523
1618,0.0349
1619,0.0175
1620,0.0
1621,-0.0175
1622,-0.0349
1623,-0.0523
1624,-0.0698
1625,-0.0872
1626,-0.1045
1627,-0.1219
1628,-0.1392
1629,-0.1564
1630,-0.1736
1631,-0.1908
1632,-0.2079
1633,-0.225
1634,-0.2419
1635,-0.2588
1636,-0.2756
1637,-0.2924
1638,-0.309
1639,-0.3256
1640,-0.342
1641,-0.3584
1642,-0.3746
1643,-0.3907
1644,-0.4067
1645,-0.4226
1646,-0.4384
1647,-0.454
1648,-0.4695
1649,-0.4848
1650,-0.5
1651,-0.515
1652,-0.5299
1653,-0.5446
1654,-0.5592
1655,-0.5736
1656,-0.5878
1657,-0.6018
1658,-0.6157
1659,-0.6293
1660,-0.6428
1661,-0.6561
1662,-0.6691
1663,-0.682
1664,-0.6947
1665,-0.7071
1666,-0.7193
1667,-0.7314
1668,-0.7431
1669,-0.7547
1670,-0.766
1671,-0.7771
1672,-0.788
1673,-0.7986
1674,-0.809
1675,-0.8192
1676,-0.829
1677,-0.8387
1678,-0.848
1679,-0.8572
1680,-0.866
1681,-0.8746
1682,-0.8829
1683,-0.891
1684,-0.8988
1685,-0.9063
1686,-0.9135
1687,-0.9205
1688,-0.9272
1689,-0.9336
1690,-0.9397
1691,-0.9455
1692,-0.9511
1693,-0.9563
1694,-0.9613
1695,-0.9659
1696,-0.9703
1697,-0.9744
1698,-0.9781
1699,-0.9816
1700,-0.9848
1701,-0.9877
1702,-0.9903
1703,-0.9925
1704,-0.9945
1705,-0.9962
1706,-0.9976
1707,-0.9986
1708,-0.9994
1709,-0.9998
1710,-1.0
1711,-0.9998
1712,-0.9994
1713,-0.9986
1714,-0.9976
1715,-0.9962
1716,-0.9945
1717,-0.9925
1718,-0.9903
1719,-0.9877
1720,-0.9848
1721,-0.9816
1722,-0.9781
1723,-0.9744
1724,-0.9703
1725,-0.9659
1726,-0.9613
1727,-0.9563
1728,-0.9511
1729,-0.9455
1730,-0.9397
1731,-0.9336
1732,-0.9272
1733,-0.9205
1734,-0.9135
1735,-0.9063
1736,-0.8988
1737,-0.891
1738,-0.8829
1739,-0.8746
1740,-0.866
1741,-0.8572
1742,-0.848
1743,-0.8387
1744,-0.829
1745,-0.8192
1746,-0.809
1747,-0.7986
1748,-0.788
1749,-0.7771
1750,-0.766
1751,-0.7547
1752,-0.7431
1753,-0.7314
1754,-0.7193
1755,-0.7071
1756,-0.6947
1757,-0.682
1758,-0.6691
1759,-0.6561
1760,-0.6428
1761,-0.6293
1762,-0.6157
1763,-0.6018
1764,-0.5878
1765,-0.5736
1766,-0.5592
1767,-0.5446
1768,-0.5299
1769,-0.515
1770,-0.5
1771,-0.4848
1772,-0.4695
1773,-0.454
1774,-0.4384
1775,-0.4226
1776,-0.4067
1777,-0.3907
1778,-0.3746
1779,-0.3584
1780,-0.342
1781,-0.3256
1782,-0.309
1783,-0.2924
1784,-0.2756
1785,-0.2588
1786,-0.2419
1787,-0.225
1788,-0.2079
1789,-0.1908
1790,-0.1736
1791,-0.1564
1792,-0.1392
1793,-0.1219
1794,-0.1045
1795,-0.0872
1796,-0.0698
1797,-0.0523
