degrees,values
10121,0.6561
10122,0.6691
10123,0.682
10124,0.6947
10125,0.7071
10126,0.7193
10127,0.7314
10128,0.7431
10129,0.7547
10130,0.766
10131,0.7771
10132,0.788
10133,0.7986
10134,0.809
10135,0.8192
10136,0.829
10137,0.8387
10138,0.848
10139,0.8572
10140,0.866
10141,0.8746
10142,0.8829
10143,0.891
10144,0.8988
10145,0.9063
10146,0.9135
10147,0.9205
10148,0.9272
10149,0.9336
10150,0.9397
10151,0.9455
10152,0.9511
10153,0.9563
10154,0.9613
10155,0.9659
10156,0.9703
10157,0.9744
10158,0.9781
10159,0.9816
10160,0.9848
10161,0.9877
10162,0.9903
10163,0.9925
10164,0.9945
10165,0.9962
10166,0.9976
10167,0.9986
10168,0.9994
10169,0.9998
10170,1.0
10171,0.9998
10172,0.9994
10173,0.9986
10174,0.9976
10175,0.9962
10176,0.9945
10177,0.9925
10178,0.9903
10179,0.9877
10180,0.9848
10181,0.9816
10182,0.9781
10183,0.9744
10184,0.9703
10185,0.9659
10186,0.9613
10187,0.9563
10188,0.9511
10189,0.9455
10190,0.9397
10191,0.9336
10192,0.9272
10193,0.9205
10194,0.9135
10195,0.9063
10196,0.8988
10197,0.891
10198,0.8829
10199,0.8746
10200,0.866
10201,0.8572
10202,0.848
10203,0.8387
10204,0.829
10205,0.8192
10206,0.809
10207,0.7986
10208,0.788
10209,0.7771
10210,0.766
10211,0.7547
10212,0.7431
10213,0.7314
10214,0.7193
10215,0.7071
10216,0.6947
10217,0.682
10218,0.6691
10219,0.6561
10220,0.6428
10221,0.6293
10222,0.6157
10223,0.6018
10224,0.5878
10225,0.5736
10226,0.5592
10227,0.5446
10228,0.5299
10229,0.515
10230,0.5
10231,0.4848
10232,0.4695
10233,0.454
10234,0.4384
10235,0.4226
10236,0.4067
10237,0.3907
10238,0.3746
10239,0.3584
10240,0.342
10241,0.3256
10242,0.309
10243,0.2924
10244,0.2756
10245,0.2588
10246,0.2419
10247,0.225
10248,0.2079
10249,0.1908
10250,0.1736
10251,0.1564
10252,0.1392
10253,0.1219
10254,0.1045
10255,0.0872
10256,0.0698
10257,0.0523
10258,0.0349
10259,0.0175
10260,-0.0
10261,-0.0175
10262,-0.0349
10263,-0.0523
10264,-0.0698
10265,-0.0872
10266,-0.1045
10267,-0.1219
10268,-0.1392
10269,-0.1564
10270,-0.1736
10271,-0.1908
10272,-0.2079
10273,-0.225
10274,-0.2419
10275,-0.2588
10276,-0.2756
10277,-0.2924
10278,-0.309
10279,-0.3256
10280,-0.342
10281,-0.3584
10282,-0.3746
10283,-0.3907
10284,-0.4067
10285,-0.4226
10286,-0.4384
10287,-0.454
10288,-0.4695
10289,-0.4848
10290,-0.5
10291,-0.515
10292,-0.5299
10293,-0.5446
10294,-0.5592
10295,-0.5736
10296,-0.5878
10297,-0.6018
10298,-0.6157
10299,-0.6293
10300,-0.6428
10301,-0.6561
10302,-0.6691
10303,-0.682
10304,-0.6947
10305,-0.7071
10306,-0.7193
10307,-0.7314
10308,-0.7431
10309,-0.7547
10310,-0.766
10311,-0.7771
10312,-0.788
10313,-0.7986
10314,-0.809
10315,-0.8192
10316,-0.829
10317,-0.8387
10318,-0.848
10319,-0.8572
10320,-0.866
10321,-0.8746
10322,-0.8829
10323,-0.891
10324,-0.8988
10325,-0.9063
10326,-0.9135
10327,-0.9205
10328,-0.9272
10329,-0.9336
10330,-0.9397
10331,-0.9455
10332,-0.9511
10333,-0.9563
10334,-0.9613
10335,-0.9659
10336,-0.9703
10337,-0.9744
10338,-0.9781
10339,-0.9816
10340,-0.9848
10341,-0.9877
10342,-0.9903
10343,-0.9925
10344,-0.9945
10345,-0.9962
10346,-0.9976
10347,-0.9986
10348,-0.9994
10349,-0.9998
10350,-1.0
10351,-0.9998
10352,-0.9994
10353,-0.9986
10354,-0.9976
10355,-0.9962
10356,-0.9945
10357,-0.9925
10358,-0.9903
10359,-0.9877
10360,-0.9848
10361,-0.9816
10362,-0.9781
10363,-0.9744
10364,-0.9703
10365,-0.9659
10366,-0.9613
10367,-0.9563
10368,-0.9511
10369,-0.9455
10370,-0.9397
10371,-0.9336
10372,-0.9272
10373,-0.9205
10374,-0.9135
10375,-0.9063
10376,-0.8988
10377,-0.891
10378,-0.8829
10379,-0.8746
10380,-0.866
10381,-0.8572
10382,-0.848
10383,-0.8387
10384,-0.829
10385,-0.8192
10386,-0.809
10387,-0.7986
10388,-0.788
10389,-0.7771
10390,-0.766
10391,-0.7547
10392,-0.7431
10393,-0.7314
10394,-0.7193
10395,-0.7071
10396,-0.6947
10397,-0.682
10398,-0.6691
10399,-0.6561
10400,-0.6428
10401,-0.6293
10402,-0.6157
10403,-0.6018
10404,-0.5878
10405,-0.5736
10406,-0.5592
10407,-0.5446
10408,-0.5299
10409,-0.515
10410,-0.5
10411,-0.4848
10412,-0.4695
10413,-0.454
10414,-0.4384
10415,-0.4226
10416,-0.4067
10417,-0.3907
10418,-0.3746
10419,-0.3584
10420,-0.342
10421,-0.3256
10422,-0.309
10423,-0.2924
10424,-0.2756
10425,-0.2588
10426,-0.2419
10427,-0.225
10428,-0.2079
10429,-0.1908
10430,-0.1736
10431,-0.1564
10432,-0.1392
10433,-0.1219
10434,-0.1045
10435,-0.0872
10436,-0.0698
10437,-0.0523
10438,-0.0349
10439,-0.0175
10440,0.0
10441,0.0175
10442,0.0349
10443,0.0523
10444,0.0698
10445,0.0872
10446,0.1045
10447,0.1219
10448,0.1392
10449,0.1564
10450,0.1736
10451,0.1908
10452,0.2079
10453,0.225
10454,0.2419
10455,0.2588
10456,0.2756
10457,0.2924
10458,0.309
10459,0.3256
10460,0.342
10461,0.3584
10462,0.3746
10463,0.3907
10464,0.4067
10465,0.4226
10466,0.4384
10467,0.454
10468,0.4695
10469,0.4848
10470,0.5
10471,0.515
10472,0.5299
10473,0.5446
10474,0.5592
10475,0.5736
10476,0.5878
10477,0.6018
10478,0.6157
10479,0.6293
10480,0.6428
10481,0.6561
10482,0.6691
10483,0.682
10484,0.6947
10485,0.7071
10486,0.7193
10487,0.7314
10488,0.7431
10489,0.7547
10490,0.766
10491,0.7771
10492,0.788
10493,0.7986
10494,0.809
10495,0.8192
10496,0.829
10497,0.8387
10498,0.848
10499,0.8572
10500,0.866
10501,0.8746
10502,0.8829
10503,0.891
10504,0.8988
10505,0.9063
10506,0.9135
10507,0.9205
10508,0.9272
10509,0.9336
10510,0.9397
10511,0.9455
10512,0.9511
10513,0.9563
10514,0.9613
10515,0.9659
10516,0.9703
10517,0.9744
10518,0.9781
10519,0.9816
10520,0.9848
10521,0.9877
10522,0.9903
10523,0.9925
10524,0.9945
10525,0.9962
10526,0.9976
10527,0.9986
10528,0.9994
10529,0.9998
10530,1.0
10531,0.9998
10532,0.9994
10533,0.9986
10534,0.9976
10535,0.9962
10536,0.9945
10537,0.9925
10538,0.9903
10539,0.9877
10540,0.9848
10541,0.9816
10542,0.9781
10543,0.9744
10544,0.9703
10545,0.9659
10546,0.9613
10547,0.9563
10548,0.9511
10549,0.9455
10550,0.9397
10551,0.9336
10552,0.9272
10553,0.9205
10554,0.9135
10555,0.9063
10556,0.8988
10557,0.891
10558,0.8829
10559,0.8746
10560,0.866
10561,0.8572
10562,0.848
10563,0.8387
10564,0.829
10565,0.8192
10566,0.809
10567,0.7986
10568,0.788
10569,0.7771
10570,0.766
10571,0.7547
10572,0.7431
10573,0.7314
10574,0.7193
10575,0.7071
10576,0.6947
10577,0.682
10578,0.6691
10579,0.6561
10580,0.6428
10581,0.6293
10582,0.6157
10583,0.6018
10584,0.5878
10585,0.5736
10586,0.5592
10587,0.5446
10588,0.5299
10589,0.515
10590,0.5
10591,0.4848
10592,0.4695
10593,0.454
10594,0.4384
10595,0.4226
10596,0.4067
10597,0.3907
10598,0.3746
10599,0.3584
10600,0.342
10601,0.3256
10602,0.309
10603,0.2924
10604,0.2756
10605,0.2588
10606,0.2419
10607,0.225
10608,0.2079
10609,0.1908
10610,0.1736
10611,0.1564
10612,0.1392
10613,0.1219
10614,0.1045
10615,0.0872
10616,0.0698
10617,0.0523
10618,0.0349
10619,0.0175
10620,0.0
10621,-0.0175
10622,-0.0349
10623,-0.0523
10624,-0.0698
10625,-0.0872
10626,-0.1045
10627,-0.1219
10628,-0.1392
10629,-0.1564
10630,-0.1736
10631,-0.1908
10632,-0.2079
10633,-0.225
10634,-0.2419
10635,-0.2588
10636,-0.2756
10637,-0.2924
10638,-0.309
10639,-0.3256
10640,-0.342
10641,-0.3584
10642,-0.3746
10643,-0.3907
10644,-0.4067
10645,-0.4226
10646,-0.4384
10647,-0.454
10648,-0.4695
10649,-0.4848
10650,-0.5
10651,-0.515
10652,-0.5299
10653,-0.5446
10654,-0.5592
10655,-0.5736
10656,-0.5878
10657,-0.6018
10658,-0.6157
10659,-0.6293
10660,-0.6428
10661,-0.6561
10662,-0.6691
10663,-0.682
10664,-0.6947
10665,-0.7071
10666,-0.7193
10667,-0.7314
10668,-0.7431
10669,-0.7547
10670,-0.766
10671,-0.7771
10672,-0.788
10673,-0.7986
10674,-0.809
10675,-0.8192
10676,-0.829
10677,-0.8387
10678,-0.848
10679,-0.8572
10680,-0.866
10681,-0.8746
10682,-0.8829
10683,-0.891
10684,-0.8988
10685,-0.9063
10686,-0.9135
10687,-0.9205
10688,-0.9272
10689,-0.9336
10690,-0.9397
10691,-0.9455
10692,-0.9511
10693,-0.9563
10694,-0.9613
10695,-0.9659
10696,-0.9703
10697,-0.9744
10698,-0.9781
10699,-0.9816
10700,-0.9848
10701,-0.9877
10702,-0.9903
10703,-0.9925
10704,-0.9945
10705,-0.9962
10706,-0.9976
10707,-0.9986
10708,-0.9994
10709,-0.9998
10710,-1.0
10711,-0.9998
10712,-0.9994
10713,-0.9986
10714,-0.9976
10715,-0.9962
10716,-0.9945
10717,-0.9925
10718,-0.9903
10719,-0.9877
10720,-0.9848
10721,-0.9816
10722,-0.9781
10723,-0.9744
10724,-0.9703
10725,-0.9659
10726,-0.9613
10727,-0.9563
10728,-0.9511
10729,-0.9455
10730,-0.9397
10731,-0.9336
10732,-0.9272
10733,-0.9205
10734,-0.9135
10735,-0.9063
10736,-0.8988
10737,-0.891
10738,-0.8829
10739,-0.8746
10740,-0.866
10741,-0.8572
10742,-0.848
10743,-0.8387
10744,-0.829
10745,-0.8192
10746,-0.809
10747,-0.7986
10748,-0.788
10749,-0.7771
10750,-0.766
10751,-0.7547
10752,-0.7431
10753,-0.7314
10754,-0.7193
10755,-0.7071
10756,-0.6947
10757,-0.682
10758,-0.6691
10759,-0.6561
10760,-0.6428
10761,-0.6293
10762,-0.6157
10763,-0.6018
10764,-0.5878
10765,-0.5736
10766,-0.5592
10767,-0.5446
10768,-0.5299
10769,-0.515
10770,-0.5
10771,-0.4848
10772,-0.4695
10773,-0.454
10774,-0.4384
10775,-0.4226
10776,-0.4067
10777,-0.3907
10778,-0.3746
10779,-0.3584
10780,-0.342
10781,-0.3256
10782,-0.309
10783,-0.2924
10784,-0.2756
10785,-0.2588
10786,-0.2419
10787,-0.225
10788,-0.2079
10789,-0.1908
10790,-0.1736
10791,-0.1564
10792,-0.1392
10793,-0.1219
10794,-0.1045
10795,-0.0872
10796,-0.0698
10797,-0.0523
10798,-0.0349
10799,-0.0175
10800,0.0
10801,0.0175
10802,0.0349
10803,0.0523
10804,0.0698
10805,0.0872
10806,0.1045
10807,0.1219
10808,0.1392
10809,0.1564
10810,0.1736
10811,0.1908
10812,0.2079
10813,0.225
10814,0.2419
10815,0.2588
10816,0.2756
10817,0.2924
10818,0.309
10819,0.3256
10820,0.342
10821,0.3584
10822,0.3746
10823,0.3907
10824,0.4067
10825,0.4226
10826,0.4384
10827,0.454
10828,0.4695
10829,0.4848
10830,0.5
10831,0.515
10832,0.5299
10833,0.5446
10834,0.5592
10835,0.5736
10836,0.5878
10837,0.6018
10838,0.6157
10839,0.6293
10840,0.6428
10841,0.6561
10842,0.6691
10843,0.682
10844,0.6947
10845,0.7071
10846,0.7193
10847,0.7314
10848,0.7431
10849,0.7547
10850,0.766
10851,0.7771
10852,0.788
10853,0.7986
10854,0.809
10855,0.8192
10856,0.829
10857,0.8387
10858,0.848
10859,0.8572
10860,0.866
10861,0.8746
10862,0.8829
10863,0.891
10864,0.8988
10865,0.9063
10866,0.9135
10867,0.9205
10868,0.9272
10869,0.9336
10870,0.9397
10871,0.9455
10872,0.9511
10873,0.9563
10874,0.9613
10875,0.9659
10876,0.9703
10877,0.9744
10878,0.9781
10879,0.9816
10880,0.9848
10881,0.9877
10882,0.9903
10883,0.9925
10884,0.9945
10885,0.9962
10886,0.9976
10887,0.9986
10888,0.9994
10889,0.9998
10890,1.0
10891,0.9998
10892,0.9994
10893,0.9986
10894,0.9976
10895,0.9962
10896,0.9945
10897,0.9925
10898,0.9903
10899,0.9877
10900,0.9848
10901,0.9816
10902,0.9781
10903,0.9744
10904,0.9703
10905,0.9659
10906,0.9613
10907,0.9563
10908,0.9511
10909,0.9455
10910,0.9397
10911,0.9336
10912,0.9272
10913,0.9205
10914,0.9135
10915,0.9063
10916,0.8988
10917,0.891
10918,0.8829
10919,0.8746
10920,0.866
10921,0.8572
10922,0.848
10923,0.8387
10924,0.829
10925,0.8192
10926,0.809
10927,0.7986
10928,0.788
10929,0.7771
10930,0.766
10931,0.7547
10932,0.7431
10933,0.7314
10934,0.7193
10935,0.7071
10936,0.6947
10937,0.682
10938,0.6691
10939,0.6561
10940,0.6428
10941,0.6293
10942,0.6157
10943,0.6018
10944,0.5878
10945,0.5736
10946,0.5592
10947,0.5446
10948,0.5299
10949,0.515
10950,0.5
10951,0.4848
10952,0.4695
10953,0.454
10954,0.4384
10955,0.4226
10956,0.4067
10957,0.3907
10958,0.3746
10959,0.3584
10960,0.342
10961,0.3256
10962,0.309
10963,0.2924
10964,0.2756
10965,0.2588
10966,0.2419
10967,0.225
10968,0.2079
10969,0.1908
10970,0.1736
10971,0.1564
10972,0.1392
10973,0.1219
10974,0.1045
10975,0.0872
10976,0.0698
10977,0.0523
10978,0.0349
10979,0.0175
10980,0.0
10981,-0.0175
10982,-0.0349
10983,-0.0523
10984,-0.0698
10985,-0.0872
10986,-0.1045
10987,-0.1219
10988,-0.1392
10989,-0.1564
10990,-0.1736
10991,-0.1908
10992,-0.2079
10993,-0.225
10994,-0.2419
10995,-0.2588
10996,-0.2756
10997,-0.2924
10998,-0.309
10999,-0.3256
11000,-0.342
11001,-0.3584
11002,-0.3746
11003,-0.3907
11004,-0.4067
11005,-0.4226
11006,-0.4384
11007,-0.454
11008,-0.4695
11009,-0.4848
11010,-0.5
11011,-0.515
11012,-0.5299
11013,-0.5446
11014,-0.5592
11015,-0.5736
11016,-0.5878
11017,-0.6018
11018,-0.6157
11019,-0.6293
11020,-0.6428
11021,-0.6561
11022,-0.6691
11023,-0.682
11024,-0.6947
11025,-0.7071
11026,-0.7193
11027,-0.7314
11028,-0.7431
11029,-0.7547
11030,-0.766
11031,-0.7771
11032,-0.788
11033,-0.7986
11034,-0.809
11035,-0.8192
11036,-0.829
11037,-0.8387
11038,-0.848
11039,-0.8572
11040,-0.866
11041,-0.8746
11042,-0.8829
11043,-0.891
11044,-0.8988
11045,-0.9063
11046,-0.9135
11047,-0.9205
11048,-0.9272
11049,-0.9336
11050,-0.9397
11051,-0.9455
11052,-0.9511
11053,-0.9563
11054,-0.9613
11055,-0.9659
11056,-0.9703
11057,-0.9744
11058,-0.9781
11059,-0.9816
11060,-0.9848
11061,-0.9877
11062,-0.9903
11063,-0.9925
11064,-0.9945
11065,-0.9962
11066,-0.9976
11067,-0.9986
11068,-0.9994
11069,-0.9998
11070,-1.0
11071,-0.9998
11072,-0.9994
11073,-0.9986
11074,-0.9976
11075,-0.9962
11076,-0.9945
11077,-0.9925
11078,-0.9903
11079,-0.9877
11080,-0.9848
11081,-0.9816
11082,-0.9781
11083,-0.9744
11084,-0.9703
11085,-0.9659
11086,-0.9613
11087,-0.9563
11088,-0.9511
11089,-0.9455
11090,-0.9397
11091,-0.9336
11092,-0.9272
11093,-0.9205
11094,-0.9135
11095,-0.9063
11096,-0.8988
11097,-0.891
11098,-0.8829
11099,-0.8746
11100,-0.866
11101,-0.8572
11102,-0.848
11103,-0.8387
11104,-0.829
11105,-0.8192
11106,-0.809
11107,-0.7986
11108,-0.788
11109,-0.7771
11110,-0.766
11111,-0.7547
11112,-0.7431
11113,-0.7314
11114,-0.7193
11115,-0.7071
11116,-0.6947
11117,-0.682
11118,-0.6691
11119,-0.6561
11120,-0.6428
11121,-0.6293
11122,-0.6157
11123,-0.6018
11124,-0.5878
11125,-0.5736
11126,-0.5592
11127,-0.5446
11128,-0.5299
11129,-0.515
11130,-0.5
11131,-0.4848
11132,-0.4695
11133,-0.454
11134,-0.4384
11135,-0.4226
11136,-0.4067
11137,-0.3907
11138,-0.3746
11139,-0.3584
11140,-0.342
11141,-0.3256
11142,-0.309
11143,-0.2924
11144,-0.2756
11145,-0.2588
11146,-0.2419
11147,-0.225
11148,-0.2079
11149,-0.1908
11150,-0.1736
11151,-0.1564
11152,-0.1392
11153,-0.1219
11154,-0.1045
11155,-0.0872
11156,-0.0698
11157,-0.0523
11158,-0.0349
11159,-0.0175
11160,-0.0
11161,0.0175
11162,0.0349
11163,0.0523
11164,0.0698
11165,0.0872
11166,0.1045
11167,0.1219
11168,0.1392
11169,0.1564
11170,0.1736
11171,0.1908
11172,0.2079
11173,0.225
11174,0.2419
11175,0.2588
11176,0.2756
11177,0.2924
11178,0.309
11179,0.3256
11180,0.342
11181,0.3584
11182,0.3746
11183,0.3907
11184,0.4067
11185,0.4226
11186,0.4384
11187,0.454
11188,0.4695
11189,0.4848
11190,0.5
11191,0.515
11192,0.5299
11193,0.5446
11194,0.5592
11195,0.5736
11196,0.5878
11197,0.6018
11198,0.6157
11199,0.6293
11200,0.6428
11201,0.6561
11202,0.6691
11203,0.682
11204,0.6947
11205,0.7071
11206,0.7193
11207,0.7314
11208,0.7431
11209,0.7547
11210,0.766
11211,0.7771
11212,0.788
11213,0.7986
11214,0.809
11215,0.8192
11216,0.829
11217,0.8387
11218,0.848
11219,0.8572
11220,0.866
11221,0.8746
11222,0.8829
11223,0.891
11224,0.8988
11225,0.9063
11226,0.9135
11227,0.9205
11228,0.9272
11229,0.9336
11230,0.9397
11231,0.9455
11232,0.9511
11233,0.9563
11234,0.9613
11235,0.9659
11236,0.9703
11237,0.9744
11238,0.9781
11239,0.9816
11240,0.9848
11241,0.9877
11242,0.9903
11243,0.9925
11244,0.9945
11245,0.9962
11246,0.9976
11247,0.9986
11248,0.9994
11249,0.9998
11250,1.0
11251,0.9998
11252,0.9994
11253,0.9986
11254,0.9976
11255,0.9962
11256,0.9945
11257,0.9925
11258,0.9903
11259,0.9877
11260,0.9848
11261,0.9816
11262,0.9781
11263,0.9744
11264,0.9703
11265,0.9659
11266,0.9613
11267,0.9563
11268,0.9511
11269,0.9455
11270,0.9397
11271,0.9336
11272,0.9272
11273,0.9205
11274,0.9135
11275,0.9063
11276,0.8988
11277,0.891
11278,0.8829
11279,0.8746
11280,0.866
11281,0.8572
11282,0.848
11283,0.8387
11284,0.829
11285,0.8192
11286,0.809
11287,0.7986
11288,0.788
11289,0.7771
11290,0.766
11291,0.7547
11292,0.7431
11293,0.7314
11294,0.7193
11295,0.7071
11296,0.6947
11297,0.682
11298,0.6691
11299,0.6561
11300,0.6428
11301,0.6293
11302,0.6157
11303,0.6018
11304,0.5878
11305,0.5736
11306,0.5592
11307,0.5446
11308,0.5299
11309,0.515
11310,0.5
11311,0.4848
11312,0.4695
11313,0.454
11314,0.4384
11315,0.4226
11316,0.4067
11317,0.3907
11318,0.3746
11319,0.3584
11320,0.342
11321,0.3256
11322,0.309
11323,0.2924
11324,0.2756
11325,0.2588
11326,0.2419
11327,0.225
11328,0.2079
11329,0.1908
11330,0.1736
11331,0.1564
11332,0.1392
11333,0.1219
11334,0.1045
11335,0.0872
11336,0.0698
11337,0.0523
11338,0.0349
11339,0.0175
11340,-0.0
11341,-0.0175
11342,-0.0349
11343,-0.0523
11344,-0.0698
11345,-0.0872
11346,-0.1045
11347,-0.1219
11348,-0.1392
11349,-0.1564
11350,-0.1736
11351,-0.1908
11352,-0.2079
11353,-0.225
11354,-0.2419
11355,-0.2588
11356,-0.2756
11357,-0.2924
11358,-0.309
11359,-0.3256
11360,-0.342
11361,-0.3584
11362,-0.3746
11363,-0.3907
11364,-0.4067
11365,-0.4226
11366,-0.4384
11367,-0.454
11368,-0.4695
11369,-0.4848
11370,-0.5
11371,-0.515
11372,-0.5299
11373,-0.5446
11374,-0.5592
11375,-0.5736
11376,-0.5878
11377,-0.6018
11378,-0.6157
11379,-0.6293
11380,-0.6428
11381,-0.6561
11382,-0.6691
11383,-0.682
11384,-0.6947
11385,-0.7071
11386,-0.7193
11387,-0.7314
11388,-0.7431
11389,-0.7547
11390,-0.766
11391,-0.7771
11392,-0.788
11393,-0.7986
11394,-0.809
11395,-0.8192
11396,-0.829
11397,-0.8387
11398,-0.848
11399,-0.8572
11400,-0.866
11401,-0.8746
11402,-0.8829
11403,-0.891
11404,-0.8988
11405,-0.9063
11406,-0.9135
11407,-0.9205
11408,-0.9272
11409,-0.9336
11410,-0.9397
11411,-0.9455
11412,-0.9511
11413,-0.9563
11414,-0.9613
11415,-0.9659
11416,-0.9703
11417,-0.9744
11418,-0.9781
11419,-0.9816
11420,-0.9848
11421,-0.9877
11422,-0.9903
11423,-0.9925
11424,-0.9945
11425,-0.9962
11426,-0.9976
11427,-0.9986
11428,-0.9994
11429,-0.9998
11430,-1.0
11431,-0.9998
11432,-0.9994
11433,-0.9986
11434,-0.9976
11435,-0.9962
11436,-0.9945
11437,-0.9925
11438,-0.9903
11439,-0.9877
11440,-0.9848
11441,-0.9816
11442,-0.9781
11443,-0.9744
11444,-0.9703
11445,-0.9659
11446,-0.9613
11447,-0.9563
11448,-0.9511
11449,-0.9455
11450,-0.9397
11451,-0.9336
11452,-0.9272
11453,-0.9205
11454,-0.9135
11455,-0.9063
11456,-0.8988
11457,-0.891
11458,-0.8829
11459,-0.8746
11460,-0.866
11461,-0.8572
11462,-0.848
11463,-0.8387
11464,-0.829
11465,-0.8192
11466,-0.809
11467,-0.7986
11468,-0.788
11469,-0.7771
11470,-0.766
11471,-0.7547
11472,-0.7431
11473,-0.7314
11474,-0.7193
11475,-0.7071
11476,-0.6947
11477,-0.682
11478,-0.6691
11479,-0.6561
11480,-0.6428
11481,-0.6293
11482,-0.6157
11483,-0.6018
11484,-0.5878
11485,-0.5736
11486,-0.5592
11487,-0.5446
11488,-0.5299
11489,-0.515
11490,-0.5
11491,-0.4848
11492,-0.4695
11493,-0.454
11494,-0.4384
11495,-0.4226
11496,-0.4067
11497,-0.3907
11498,-0.3746
11499,-0.3584
11500,-0.342
11501,-0.3256
11502,-0.309
11503,-0.2924
11504,-0.2756
11505,-0.2588
11506,-0.2419
11507,-0.225
11508,-0.2079
11509,-0.1908
11510,-0.1736
11511,-0.1564
11512,-0.1392
11513,-0.1219
11514,-0.1045
11515,-0.0872
11516,-0.0698
11517,-0.0523
11518,-0.0349
11519,-0.0175
11520,-0.0
11521,0.0175
11522,0.0349
11523,0.0523
11524,0.0698
11525,0.0872
11526,0.1045
11527,0.1219
11528,0.1392
11529,0.1564
11530,0.1736
11531,0.1908
11532,0.2079
11533,0.225
11534,0.2419
11535,0.2588
11536,0.2756
11537,0.2924
11538,0.309
11539,0.3256
11540,0.342
11541,0.3584
11542,0.3746
11543,0.3907
11544,0.4067
11545,0.4226
11546,0.4384
11547,0.454
11548,0.4695
11549,0.4848
11550,0.5
11551,0.515
11552,0.5299
11553,0.5446
11554,0.5592
11555,0.5736
11556,0.5878
11557,0.6018
11558,0.6157
11559,0.6293
11560,0.6428
11561,0.6561
11562,0.6691
11563,0.682
11564,0.6947
11565,0.7071
11566,0.7193
11567,0.7314
11568,0.7431
11569,0.7547
11570,0.766
11571,0.7771
11572,0.788
11573,0.7986
11574,0.809
11575,0.8192
11576,0.829
11577,0.8387
11578,0.848
11579,0.8572
11580,0.866
11581,0.8746
11582,0.8829
11583,0.891
11584,0.8988
11585,0.9063
11586,0.9135
11587,0.9205
11588,0.9272
11589,0.9336
11590,0.9397
11591,0.9455
11592,0.9511
11593,0.9563
11594,0.9613
11595,0.9659
11596,0.9703
11597,0.9744
11598,0.9781
11599,0.9816
11600,0.9848
11601,0.9877
11602,0.9903
11603,0.9925
11604,0.9945
11605,0.9962
11606,0.9976
11607,0.9986
11608,0.9994
11609,0.9998
11610,1.0
11611,0.9998
11612,0.9994
11613,0.9986
11614,0.9976
11615,0.9962
11616,0.9945
11617,0.9925
11618,0.9903
11619,0.9877
11620,0.9848
11621,0.9816
11622,0.9781
11623,0.9744
11624,0.9703
11625,0.9659
11626,0.9613
11627,0.9563
11628,0.9511
11629,0.9455
11630,0.9397
11631,0.9336
11632,0.9272
11633,0.9205
11634,0.9135
11635,0.9063
11636,0.8988
11637,0.891
11638,0.8829
11639,0.8746
11640,0.866
11641,0.8572
11642,0.848
11643,0.8387
11644,0.829
11645,0.8192
11646,0.809
11647,0.7986
11648,0.788
11649,0.7771
11650,0.766
11651,0.7547
11652,0.7431
11653,0.7314
11654,0.7193
11655,0.7071
11656,0.6947
11657,0.682
11658,0.6691
11659,0.6561
11660,0.6428
11661,0.6293
11662,0.6157
11663,0.6018
11664,0.5878
11665,0.5736
11666,0.5592
11667,0.5446
11668,0.5299
11669,0.515
11670,0.5
11671,0.4848
11672,0.4695
11673,0.454
11674,0.4384
11675,0.4226
11676,0.4067
11677,0.3907
11678,0.3746
11679,0.3584
11680,0.342
11681,0.3256
11682,0.309
11683,0.2924
